,_unit_id,_created_at,_canary,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,direction,b1,b2,direction_gold,e1,e2,relation,relex_relcos,sent_id,sentence,term1,term2,twrex
175,502808393,7/13/2014 13:56:27,,1321896564,7/13/2014 13:56:21,neodev,0.875,25224036,CAN,ON,Sudbury,67.204.218.187,GLUCOSAMINE SULPHATE treats OSTEOARTHRITIS OF THE KNEE,550,510,,576,530,treats,0.9918365981341758,907762-FS1-2,"trial  Lancet  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  New England Journal of Medicine  Glucosamine, chondroitin sulfate, and the two in combination for painful knee osteoarthritis  Osteoarthritis and Cartilage  A randomized, placebo controlled, cross over study of ginger extracts and ibuprofen in osteoarthritis  Rheumatic Diseases Clinics of North America  Homeopathy and rheumatic disease  Rheumatology (Oxford)  A randomized, double blind, placebo controlled trial of GLUCOSAMINE SULPHATE as an analgesic in OSTEOARTHRITIS OF THE KNEE  Review  Alternative Medicine Review  Natural treatments for osteoarthritis  Arthritis and.",OSTEOARTHRITIS OF THE KNEE,GLUCOSAMINE SULPHATE,RO-may_treat
182,502808394,7/13/2014 14:01:37,,1321898956,7/13/2014 14:01:21,instagc,0.9097,18960682,GBR,,,86.29.147.112,MYCOBACTERIUM LEPRAE causes LEPROSY,58,0,,78,7,causes,0.9950371902099888,903986-FS1-4,LEPROSY (hanseniasis) is caused by chronic infection with MYCOBACTERIUM LEPRAE (M. leprae.,MYCOBACTERIUM LEPRAE,LEPROSY,RO-has_causative_agent
196,502808398,7/13/2014 14:02:04,,1321899149,7/13/2014 14:01:39,instagc,0.9097,18960682,GBR,,,86.29.147.112,no_relation,38,7,,55,17,treats,0.346410161513775,906606-FS1-2,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE,RO-may_diagnose
203,502808399,7/13/2014 13:48:35,,1321892755,7/13/2014 13:48:14,clixsense,0.9167,27871219,NLD,07,Amsterdam,87.210.207.223,YERSINIA PESTIS causes PLAGUE,0,39,,15,45,causes,1.0,903744-FS1-4,YERSINIA PESTIS the causative agent of PLAGUE has a feature of forming multicellular aggregates at liquid air interface around the wall of glass tube.,YERSINIA PESTIS,PLAGUE,RO-has_causative_agent
217,502808402,7/13/2014 13:42:39,,1321890214,7/13/2014 13:42:26,clixsense,1.0,27793793,GBR,C5,Chester,151.230.27.155,OCTREOTIDE treats REFRACTORY DIARRHOEA,13,62,,33,72,treats,0.9897433186107868,907795-FS1-2,Treatment of REFRACTORY DIARRHOEA in AIDS with acetorphan and OCTREOTIDE: a randomized crossover study.,REFRACTORY DIARRHOEA,OCTREOTIDE,RO-may_treat
224,502808403,7/13/2014 14:17:13,,1321906630,7/13/2014 14:16:31,clixsense,0.625,25402344,CAN,ON,Wawa,24.109.124.45,FLUTAMIDE treats HIRSUTISM,167,65,,176,74,treats,0.99654575824488,907497-FS1-2,17of 18 women with hirsutism treated with combination therapy of FLUTAMIDE 250 mg twice daily and an oral contraceptive pill had a rapid and marked reduction in their HIRSUTISM score.,HIRSUTISM,FLUTAMIDE,RO-may_treat
231,502808405,7/13/2014 13:56:35,,1321896608,7/13/2014 13:56:28,neodev,0.875,25224036,CAN,ON,Sudbury,67.204.218.187,RIBOFLAVIN DEFICIENCY causes RIBOFLAVIN,36,36,,57,46,causes,0.8090398349558909,907355-FS1-4,These data suggest that subclinical RIBOFLAVIN DEFICIENCY may occur in adolescents and that deficiency may be related to dietary intake of RIBOFLAVIN,RIBOFLAVIN DEFICIENCY,RIBOFLAVIN,RO-may_prevent
238,502808406,7/13/2014 13:42:51,,1321890291,7/13/2014 13:42:40,clixsense,1.0,27793793,GBR,C5,Chester,151.230.27.155,no_relation,67,158,,92,170,causes,0.640512615220348,904583-FS1-4,"Taken together, these data suggest that African green monkeys with SPONTANEOUSLY ELEVATED BP may be a useful experimental model for particular types of human HYPERTENSION",SPONTANEOUSLY ELEVATED BP,HYPERTENSION,RO-has_definitional_manifestation
245,502808409,7/13/2014 13:56:51,,1321896750,7/13/2014 13:56:45,neodev,0.875,25224036,CAN,ON,Sudbury,67.204.218.187,HYPERSENSITIVITY REACTION causes BEESTING ALLERGY,27,72,,43,97,causes,0.9,900406-FS1-4,Patients with a history of BEESTING ALLERGY may have a higher risk of a HYPERSENSITIVITY REACTION with paclitaxel treatment.,BEESTING ALLERGY,HYPERSENSITIVITY REACTION,RO-cause_of
266,502808412,7/13/2014 14:04:18,,1321900249,7/13/2014 14:04:05,neodev,0.875,18755947,GBR,H2,Accrington,80.47.185.52,no_relation,42,11,,54,27,treats,0.911684611677103,902598-FS1-2,Removal of PHEOCHROMOCYTOMA may also cure HYPERTENSION ( 77.,HYPERTENSION,PHEOCHROMOCYTOMA,RO-disease_may_have_finding
273,502808413,7/13/2014 14:02:37,,1321899470,7/13/2014 14:02:20,instagc,0.9097,18960682,GBR,,,86.29.147.112,no_relation,111,187,,123,209,causes,0.474341649025257,906613-FS1-4,The trends in tuberculin reactions of Mantoux test (2 TU) performed annually before and after the diagnosis of TUBERCULOSIS shows that the risk groups consist of subjects with increasing TUBERCULIN SENSITIVITY and those susceptible to acute respiratory virus infections.,TUBERCULOSIS,TUBERCULIN SENSITIVITY,RO-may_diagnose
280,502808414,7/13/2014 14:07:29,,1321901818,7/13/2014 14:07:01,clixsense,1.0,7415230,GBR,A7,Birmingham,147.188.47.242,FERTILITY causes ENDOMETRIAL HYPERPLASIA,37,107,,46,130,causes,0.787838597158335,902892-FS1-4,"When the menstrual cycle is altered, FERTILITY is reduced, and medical conditions such as osteoporosis and ENDOMETRIAL HYPERPLASIA can result.",FERTILITY,ENDOMETRIAL HYPERPLASIA,RO-disease_may_have_finding
287,502813464,7/13/2014 15:38:12,,1321944224,7/13/2014 15:37:48,clixsense,0.7361,27871219,NLD,07,Amsterdam,87.210.207.223,no_relation,124,9,,146,35,causes,0.538815906080325,905078-FS1-4,The term INFLAMMATORY BOWEL DISEASE (IBD) represents different phenotypes of the idiopathic chronic inflammatory disease of GASTROINTESTINAL TRACT,GASTROINTESTINAL TRACT,INFLAMMATORY BOWEL DISEASE,RO-has_finding_site
301,502813466,7/13/2014 15:53:05,,1321949697,7/13/2014 15:52:40,uniquerewards,0.6917,20281752,GBR,M1,Slough,86.136.105.36,MYOCLONIC SEIZURE causes KINDLED SEIZURES,67,128,,83,145,causes,0.845154254728516,904708-FS1-4,These results suggest that the CSH induced long term inhibition of KINDLED SEIZURES is the result of an interaction between the MYOCLONIC SEIZURE and a subsequent kindled seizure.,KINDLED SEIZURES,MYOCLONIC SEIZURE,RO-has_definitional_manifestation
329,502813471,7/13/2014 15:38:12,,1321944225,7/13/2014 15:37:48,clixsense,0.7361,27871219,NLD,07,Amsterdam,87.210.207.223,20 WEEK BINGE PROGRAMME treats BINGE EATING,219,170,,231,193,treats,0.848528137423857,904800-FS1-2,"The patients were enrolled into three different programmes: a 14 week LEARN programme (672 patients), a 16 week MOB programme for the morbidly obese (259 patients), or a 20 WEEK BINGE PROGRAMME for subjects affected by BINGE EATING (137 patients.",BINGE EATING,20 WEEK BINGE PROGRAMME,RO-has_definitional_manifestation
350,502813477,7/13/2014 15:34:27,,1321942701,7/13/2014 15:34:17,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,PV causes GASTROINTESTINAL BLEEDING,59,102,,84,104,causes,0.617213399848368,902816-FS1-4,? High dose aspirin use has been associated with increased GASTROINTESTINAL BLEEDING in patients with PV,GASTROINTESTINAL BLEEDING,PV,RO-disease_may_have_finding
357,502813478,7/13/2014 15:51:24,,1321949072,7/13/2014 15:50:54,uniquerewards,0.6917,20281752,GBR,M1,Slough,86.136.105.36,no_relation,75,118,,98,137,treats,0.50709255283711,908182-FS1-2,"In patients with internal ophthalmoplegia, awareness of the possibility of PHARMACOLOGIC MYDRIASIS and correct use of TOPICAL PILOCARPINE testing can preclude the necessity for neuroradiologic and invasive diagnostic studies, even in cases with atypical or complex presentations.",PHARMACOLOGIC MYDRIASIS,TOPICAL PILOCARPINE,RO-may_treat
364,502813479,7/13/2014 15:35:55,,1321943259,7/13/2014 15:35:25,clixsense,0.7361,27871219,NLD,07,Amsterdam,87.210.207.223,ANGINA causes PAIN,168,143,,172,149,causes,0.896258159530272,904945-FS1-4,"A normal ECG taken when a patient is painfree does not rule out unstable angina; a normal ECG taken during pain, although it does not rule out ANGINA suggests that the PAIN is not ischemic.",PAIN,ANGINA,RO-has_definitional_manifestation
378,502813481,7/13/2014 15:25:54,,1321939127,7/13/2014 15:25:29,clixsense,0.9167,15189335,GBR,K3,Peterborough,81.156.166.189,METHACHOLINE causes BRONCHIAL HYPERREACTIVITY,90,119,,115,131,causes,0.8944271909999159,906914-FS1-4,"The duration and severity of BA, the presence of allergy determined by skin tests and the BRONCHIAL HYPERREACTIVITY to METHACHOLINE inhalation challenge were observed on the first day of study.",BRONCHIAL HYPERREACTIVITY,METHACHOLINE,RO-may_diagnose
385,502813482,7/13/2014 15:26:34,,1321939397,7/13/2014 15:25:55,clixsense,0.9167,15189335,GBR,K3,Peterborough,81.156.166.189,no_relation,18,48,,39,57,causes,0.342997170285018,902335-FS1-4,"On the other hand PRIMARY SKIN DISEASES such as PSORIASIS atopic dermatitis, acune vulgaris, chronic idiopathic urticaria and alopecia areata may induce psychologic features.",PRIMARY SKIN DISEASES,PSORIASIS,RO-disease_has_primary_anatomic_site
392,502813485,7/13/2014 15:26:34,,1321939398,7/13/2014 15:25:55,clixsense,0.9167,15189335,GBR,K3,Peterborough,81.156.166.189,PRIMARY MENINGEAL MELANOMA causes NEUROLOGICAL SYMPTOMS,66,103,,87,129,causes,0.970142500145332,902605-FS1-4,We describe a patient with cutaneous melanosis who presented with NEUROLOGICAL SYMPTOMS due to a large PRIMARY MENINGEAL MELANOMA,NEUROLOGICAL SYMPTOMS,PRIMARY MENINGEAL MELANOMA,RO-disease_may_have_finding
413,502813490,7/13/2014 16:12:50,,1321957458,7/13/2014 16:12:22,fusioncash,0.6208,22139728,USA,,,66.67.91.242,no_relation,89,28,,119,50,causes,0.5962847939999439,901753-FS1-4,In most cases of small cell LUNG CARCINOMAS (SCLC) phenotypic features compatible with a NEUROENDOCRINE DIFFERENTIATION status can be identified by monoclonal (MOC) antibody based immunohistological procedures.,NEUROENDOCRINE DIFFERENTIATION,LUNG CARCINOMAS (SCLC),RO-disease_has_finding
427,502813493,7/13/2014 15:33:55,,1321942498,7/13/2014 15:33:40,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,CORNEAL NERVES AND HYPERTENSION causes PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA,127,226,,158,270,causes,0.8219949365267859,902547-FS1-4,"A 29 year old man with a marfanoid habitus, peculiar mucosal neuromas of the lips and tongue, high arched palate, hyperplastic CORNEAL NERVES AND HYPERTENSION was found at operation to have medullary carcinoma of the thyroid, PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA",CORNEAL NERVES AND HYPERTENSION,PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA,RO-disease_may_have_finding
434,502813495,7/13/2014 15:37:09,,1321943819,7/13/2014 15:36:24,clixsense,0.7361,27871219,NLD,07,Amsterdam,87.210.207.223,PROBIOTIC BACTERIA treats CARIES,75,110,,93,116,treats,0.625543242171224,903916-FS1-2,The aim of this study was to evaluate the effect of milk supplemented with PROBIOTIC BACTERIA and fluoride on CARIES development and general health in preschool children.,PROBIOTIC BACTERIA,CARIES,RO-has_causative_agent
441,502813497,7/13/2014 15:36:04,,1321943329,7/13/2014 15:35:57,neodev,0.7292,28336203,USA,PA,Harrisburg,50.149.53.150,CELIAC DISEASE treats GLUTEN FREE DIET,17,51,,33,65,treats,0.984731927834662,903642-FS1-2,"? Adherence to a GLUTEN FREE DIET in patients with CELIAC DISEASE can lead to the correction of iron deficiency anemia and the replacement of iron stores, and it can prevent the recurrence of iron deficiency.",GLUTEN FREE DIET,CELIAC DISEASE,RO-has_causative_agent
448,502813499,7/13/2014 15:35:31,,1321943085,7/13/2014 15:35:17,clixsense,0.9167,15189335,GBR,K3,Peterborough,81.156.166.189,FLUORIDE causes DENTAL FLUOROSIS,489,242,,497,258,causes,0.898026510133875,903790-FS1-4,"It was concluded (1) that CFI values were reduced following a minor adjustment to the fluoride concentration in drinking water, (2) that dental fluorosis develops during the maturation stage of enamel development, (3) that the development of DENTAL FLUOROSIS may occur over a period of 16 to 24 months, commencing from 12 to 32 months following enamel secretion, and (4) that Dean's index is a suitable instrument for monitoring the effects on dental fluorosis of minor adjustments to the FLUORIDE concentration in drinking water.",FLUORIDE,DENTAL FLUOROSIS,RO-has_causative_agent
455,502813500,7/13/2014 15:36:25,,1321943512,7/13/2014 15:36:15,neodev,0.7292,28336203,USA,PA,Harrisburg,50.149.53.150,HENOCH SCHONLEIN PURPURA causes NONTHROMBOCYTIC PURPURA,18,84,,41,108,causes,0.919145030018058,904727-FS1-4,The appearance of NONTHROMBOCYTIC PURPURA is an important clue for the diagnosis of HENOCH SCHONLEIN PURPURA (HSP.,NONTHROMBOCYTIC PURPURA,HENOCH SCHONLEIN PURPURA,RO-has_definitional_manifestation
462,502813502,7/13/2014 15:39:13,,1321944600,7/13/2014 15:38:59,instagc,0.7153,18960682,GBR,,,86.29.147.112,no_relation,19,0,,58,6,causes,0.320256307610174,900197-FS1-4,SEPSIS refers to a SYSTEMIC INFLAMMATORY RESPONSE SYNDROME resulting from a microbial infection.,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS,RO-cause_of
469,502813503,7/13/2014 15:33:55,,1321942518,7/13/2014 15:33:40,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,VIRUS causes MUCOUS TRANSPORT DURING VIRUS INFECTION,49,25,,54,64,causes,0.774596669241483,903829-FS1-4,Disturbances in tracheal MUCOUS TRANSPORT DURING VIRUS INFECTION appear to depend upon the type of virus and are most severe in influenza A and respiratory syncytial VIRUS infection.,VIRUS,MUCOUS TRANSPORT DURING VIRUS INFECTION,RO-has_causative_agent
476,502833444,7/13/2014 18:51:27,,1322050074,7/13/2014 18:51:04,clixsense,0.875,27871219,NLD,07,Amsterdam,87.210.207.223,ENDOMETRIAL CARCINOMA causes METRORRHAGIA,122,68,,134,89,causes,0.98058067569092,902742-FS1-4,"The simple hyperplasia predominates in the perimenopause, while the ENDOMETRIAL CARCINOMA was the most frequent cause for METRORRHAGIA in the postmenopausal women.",METRORRHAGIA,ENDOMETRIAL CARCINOMA,RO-disease_may_have_finding
490,502833449,7/13/2014 19:40:40,,1322070197,7/13/2014 19:39:57,sendearnings,0.5385,11896941,USA,FL,Seminole,97.106.105.251,DEFICIENCY causes PROTEIN CALORIE MALNUTRITION,115,36,,143,46,causes,0.911684611677103,900498-FS1-4,"The types of malnutrition caused by DEFICIENCY and the most frequently encountered in the developing countries are PROTEIN CALORIE MALNUTRITION avitaminoses, and mineral and iron deficiencies.",PROTEIN CALORIE MALNUTRITION,DEFICIENCY,RO-cause_of
497,502833450,7/13/2014 19:08:20,,1322057831,7/13/2014 19:07:55,clixsense,0.6806,19803139,NLD,11,Leiden,82.139.76.131,ALLERGIC REACTIONS causes HYPERSENSITIVITY,118,34,,134,52,causes,0.609994281330419,900040-FS1-4,A combination of various kinds of ALLERGIC REACTIONS of both the specific immediate type and of the local reaction of HYPERSENSITIVITY of the slow type plays its role in the development of acute appendicitis.,HYPERSENSITIVITY,ALLERGIC REACTIONS,RO-cause_of
504,502833452,7/13/2014 19:00:39,,1322054424,7/13/2014 19:00:34,neodev,0.8333,17610000,GBR,I2,Manchester,90.200.140.201,POSTOPERATIVE PAIN treats FENTANYL,100,149,,118,157,treats,0.8838834764831841,907557-FS1-2,"Gourlay GK, Kowalski SR, Plummer JL et al. The efficacy of transdermal fentanyl in the treatment of POSTOPERATIVE PAIN: a double blind comparison of FENTANYL and placebo systems.",POSTOPERATIVE PAIN,FENTANYL,RO-may_treat
525,502833461,7/13/2014 18:43:21,,1322046239,7/13/2014 18:43:14,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,DEPRESSION treats DOXEPIN,142,101,,152,108,treats,0.8427009716003839,907617-FS1-2,"Dunner DL, Cohn JB, Walshe T et al. Two combined, multicenter double blind studies of paroxetine and DOXEPIN in geriatric patients with major DEPRESSION",DEPRESSION,DOXEPIN,RO-may_treat
539,502833464,7/13/2014 18:43:21,,1322046240,7/13/2014 18:43:14,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,ASCITES causes SUPERIMPOSED HEPATOCELLULAR CARCINOMA,78,32,,85,69,causes,0.6488856845230501,902881-FS1-4,Sixteen cirrhotic patients with SUPERIMPOSED HEPATOCELLULAR CARCINOMA in whom ASCITES was of uncertain etiology were considered separately.,ASCITES,SUPERIMPOSED HEPATOCELLULAR CARCINOMA,RO-disease_may_have_finding
546,502833465,7/13/2014 18:51:03,,1322049862,7/13/2014 18:50:40,clixsense,0.875,27871219,NLD,07,Amsterdam,87.210.207.223,HYDROCHLOROTHIAZIDE treats HYPERTENSION,118,90,,130,109,treats,0.9901475429766742,908310-FS1-2,The efficacy and tolerability of a fixed combination of 5 mg of cilazapril and 12.5 mg of HYDROCHLOROTHIAZIDE against HYPERTENSION was evaluated in 36 patients (26 men and 10 women) between 33 68 years old.,HYPERTENSION,HYDROCHLOROTHIAZIDE,RO-may_treat
553,502833468,7/13/2014 19:40:15,,1322070000,7/13/2014 19:39:34,instagc,0.5111,19686223,CAN,BC,Surrey,154.20.155.106,CYTARABINE treats LEUKEMIA,21,97,,29,107,treats,0.98058067569092,907968-FS1-2,Eleven patients with LEUKEMIA refractory to conventional therapy were treated with high doses of CYTARABINE (3 g/m2 intravenously every 12 hours for six days) followed by daunorubicin (30 mg/m2/day intravenously for three days.,LEUKEMIA,CYTARABINE,RO-may_treat
560,502833469,7/13/2014 19:00:32,,1322054372,7/13/2014 19:00:26,neodev,0.8333,17610000,GBR,I2,Manchester,90.200.140.201,HYPERTENSION causes PHEOCHROMOCYTOMA,77,29,,89,45,causes,0.938314863256836,902506-FS1-4,The authors report a case of PHEOCHROMOCYTOMA revealed by a de novo appeared HYPERTENSION in a young female patient at her 3rd trimester of pregnancy.,HYPERTENSION,PHEOCHROMOCYTOMA,RO-disease_may_have_finding
567,502833470,7/13/2014 18:43:45,,1322046451,7/13/2014 18:43:34,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,DACARBAZINE treats METASTATIC MALIGNANT MELANOMA,196,161,,225,172,treats,0.8888888888888891,907722-FS1-2,"Phase III study of concurrent biochemotherapy with cisplatin, vinblastine, dacarbazine, interleukin 2, and interferon alfa 2b versus cisplatin, vinblastine, and DACARBAZINE alone in patients with METASTATIC MALIGNANT MELANOMA (summary last modified 10/1999.",METASTATIC MALIGNANT MELANOMA,DACARBAZINE,RO-may_treat
581,502833473,7/13/2014 18:57:19,,1322052879,7/13/2014 18:57:03,neodev,0.8333,25224036,CAN,ON,Sudbury,67.204.218.187,TYPE I ALLERGIC REACTIONS causes VERNAL KERATOCONJUNCTIVITIS,251,143,,278,168,causes,0.493196961916072,900240-FS1-4,"When topically applied to the eye before allergen exposure, ocular sodium cromoglycate prevents many of the signs and symptoms associated with TYPE I ALLERGIC REACTIONS (which includes hayfever, acute allergic and chronic allergic conjunctivitis, and VERNAL KERATOCONJUNCTIVITIS) and giant papillary conjunctivitis.",VERNAL KERATOCONJUNCTIVITIS,TYPE I ALLERGIC REACTIONS,RO-cause_of
588,502833474,7/13/2014 18:43:55,,1322046535,7/13/2014 18:43:47,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,ALLERGY causes ALLERGIC ASTHMA,46,103,,61,110,causes,0.8677218312746251,900298-FS1-4,"In many aspects, respiratory allergies, i.e., ALLERGIC ASTHMA and rhinitis, represent the hallmarks of ALLERGY",ALLERGIC ASTHMA,ALLERGY,RO-cause_of
602,502833478,7/13/2014 18:49:09,,1322049051,7/13/2014 18:48:28,clixsense,0.875,27871219,NLD,07,Amsterdam,87.210.207.223,PHEOCHROMOCYTOMA causes MULTIPLE ENDOCRINE NEOPLASIA TYPE 2,23,85,,39,120,causes,0.36115755925730697,906351-FS1-4,Analysis of hereditary PHEOCHROMOCYTOMA two gene tests are established: detection of MULTIPLE ENDOCRINE NEOPLASIA TYPE 2 (MEN 2) using mutational analysis of RET gene and detection of von Hippel Lindau syndrome using mutational analysis of VHL gene.,PHEOCHROMOCYTOMA,MULTIPLE ENDOCRINE NEOPLASIA TYPE 2,RO-has_manifestation
616,502833481,7/13/2014 19:00:25,,1322054321,7/13/2014 19:00:18,neodev,0.8333,17610000,GBR,I2,Manchester,90.200.140.201,HAEMOPHILIA A causes FACTOR VIII GENE,205,117,,218,133,causes,0.875,908218-FS1-4,Although this is more technically demanding for patients with haemophilia A because of the greater complexity of the FACTOR VIII GENE the recent description of X chromosome inversions as a cause of severe HAEMOPHILIA A in almost 50% of patients has led to the ready detection of these inversions in such families with associated precise carrier detection.,HAEMOPHILIA A,FACTOR VIII GENE,RO-may_treat
623,502833484,7/13/2014 19:41:06,,1322070392,7/13/2014 19:40:49,elite,0.5556,28276268,USA,CA,San Diego,76.88.95.100,BONE MARROW causes MYELODYSPLASTIC SYNDROME,134,149,,145,173,causes,0.666666666666667,905277-FS1-4,Apoptosis and its dysregulation have been implicated in dysplastic and ineffective hematopoiesis and the neoplastic transformation of BONE MARROW in MYELODYSPLASTIC SYNDROME (MDS.,BONE MARROW,MYELODYSPLASTIC SYNDROME,RO-has_finding_site
630,502833485,7/13/2014 18:43:13,,1322046133,7/13/2014 18:43:06,prodege,1.0,2143114,CAN,BC,Vancouver,24.84.160.12,DIABETIC KETOACIDOSIS causes DIABETES MELLITUS,184,140,,205,157,causes,0.875,900345-FS1-4,"Hyperglycemic and Diabetogenic Effects  Hyperglycemia (potentially persistent), new onset diabetes mellitus, or exacerbation of preexisting DIABETES MELLITUS reported with use of PIs; DIABETIC KETOACIDOSIS has occurred.",DIABETIC KETOACIDOSIS,DIABETES MELLITUS,RO-cause_of
